SalesOrderNumber	OrderDate	ResellerKey	EmployeeKey	SalesTerritoryKey
SO49457	Monday, March 4, 2019	349	282	4
SO49462	Wednesday, March 6, 2019	609	282	4
SO49481	Monday, March 11, 2019	133	282	4
SO49483	Monday, March 11, 2019	457	282	4
SO49490	Wednesday, March 13, 2019	24	282	4
SO49528	Wednesday, March 27, 2019	25	282	4
SO49532	Thursday, March 28, 2019	61	282	4
SO50198	Thursday, May 2, 2019	150	282	4
SO50214	Tuesday, May 7, 2019	258	282	4
SO50249	Wednesday, May 15, 2019	529	282	4
SO50269	Monday, May 20, 2019	583	282	4
SO50272	Tuesday, May 21, 2019	97	282	4
SO50300	Monday, May 27, 2019	528	282	4
SO50301	Tuesday, May 28, 2019	385	282	4
SO50313	Thursday, May 30, 2019	403	282	4
SO50663	Sunday, June 2, 2019	24	282	4
SO50688	Sunday, June 9, 2019	133	282	4
SO50692	Tuesday, June 11, 2019	168	282	4
SO50707	Saturday, June 15, 2019	649	282	4
SO50719	Tuesday, June 18, 2019	349	282	4
SO50724	Thursday, June 20, 2019	457	282	4
SO50744	Wednesday, June 26, 2019	25	282	4
SO50745	Wednesday, June 26, 2019	61	282	4
SO51106	Wednesday, July 10, 2019	331	282	4
SO51126	Monday, July 15, 2019	205	282	4
SO51165	Tuesday, July 30, 2019	241	282	4
SO51706	Sunday, August 4, 2019	259	282	4
SO51722	Tuesday, August 6, 2019	258	282	4
SO51745	Sunday, August 11, 2019	97	282	4
SO51764	Wednesday, August 14, 2019	492	282	4
SO51833	Saturday, August 24, 2019	385	282	4
SO51844	Tuesday, August 27, 2019	313	282	4
SO51848	Tuesday, August 27, 2019	493	282	4
SO51849	Tuesday, August 27, 2019	529	282	4
SO53459	Monday, September 2, 2019	582	282	4
SO53460	Monday, September 2, 2019	24	282	4
SO53470	Wednesday, September 4, 2019	420	282	4
SO53476	Friday, September 6, 2019	186	282	4
SO53496	Monday, September 9, 2019	295	282	4
SO53550	Thursday, September 19, 2019	649	282	4
SO53586	Tuesday, September 24, 2019	674	282	4
SO53598	Thursday, September 26, 2019	277	282	4
SO53601	Thursday, September 26, 2019	151	282	4
SO53606	Friday, September 27, 2019	61	282	4
SO55235	Tuesday, October 1, 2019	421	282	4
SO55256	Monday, October 7, 2019	331	282	4
SO55276	Tuesday, October 15, 2019	205	282	4
SO55285	Thursday, October 17, 2019	510	282	4
SO55315	Sunday, October 27, 2019	241	282	4
SO57029	Monday, November 4, 2019	259	282	4
SO57042	Wednesday, November 6, 2019	258	282	4
SO57062	Friday, November 8, 2019	97	282	4
SO57077	Monday, November 11, 2019	492	282	4
SO57138	Wednesday, November 20, 2019	385	282	4
SO57139	Thursday, November 21, 2019	529	282	4
SO57142	Thursday, November 21, 2019	313	282	4
SO57153	Saturday, November 23, 2019	493	282	4
SO58907	Sunday, December 1, 2019	582	282	4
SO58909	Sunday, December 1, 2019	24	282	4
SO58919	Monday, December 2, 2019	420	282	4
SO58937	Friday, December 6, 2019	295	282	4
SO58984	Saturday, December 14, 2019	186	282	4
SO58988	Sunday, December 15, 2019	649	282	4
SO59023	Thursday, December 19, 2019	61	282	4
SO59026	Saturday, December 21, 2019	674	282	4
SO59030	Saturday, December 21, 2019	6	282	4
SO59049	Wednesday, December 25, 2019	277	282	4
SO61188	Monday, January 6, 2020	331	282	4
SO61255	Monday, January 27, 2020	241	282	4
SO63146	Thursday, February 6, 2020	259	282	4
SO63155	Friday, February 7, 2020	258	282	4
SO63212	Tuesday, February 18, 2020	385	282	4
SO63213	Tuesday, February 18, 2020	97	282	4
SO63261	Monday, February 24, 2020	529	282	4
SO63277	Wednesday, February 26, 2020	493	282	4
SO65157	Monday, March 2, 2020	582	282	4
SO65160	Tuesday, March 3, 2020	24	282	4
SO65176	Thursday, March 5, 2020	420	282	4
SO65181	Thursday, March 5, 2020	649	282	4
SO65184	Friday, March 6, 2020	186	282	4
SO65244	Wednesday, March 18, 2020	295	282	4
SO65287	Wednesday, March 25, 2020	6	282	4
SO65289	Thursday, March 26, 2020	609	282	4
SO65293	Thursday, March 26, 2020	277	282	4
SO65303	Friday, March 27, 2020	61	282	4
SO67279	Thursday, April 9, 2020	331	282	4
SO67298	Tuesday, April 14, 2020	205	282	4
SO69409	Monday, May 4, 2020	259	282	4
SO69417	Wednesday, May 6, 2020	258	282	4
SO69505	Wednesday, May 20, 2020	385	282	4
SO69514	Thursday, May 21, 2020	313	282	4
SO69539	Thursday, May 28, 2020	529	282	4
SO69546	Thursday, May 28, 2020	493	282	4
SO47984	Monday, November 5, 2018	259	282	4
SO48054	Tuesday, November 20, 2018	313	282	4
SO49074	Thursday, February 7, 2019	529	282	4
SO49109	Friday, February 15, 2019	259	282	4
SO49137	Thursday, February 21, 2019	313	282	4
SO49141	Friday, February 22, 2019	528	282	4
SO49445	Friday, March 1, 2019	277	282	4
SO49486	Tuesday, March 12, 2019	649	282	4
SO49525	Tuesday, March 26, 2019	674	282	4
SO50296	Sunday, May 26, 2019	313	282	4
SO43680	Tuesday, July 18, 2017	491	287	4
SO44091	Tuesday, September 12, 2017	545	287	4
SO44095	Friday, September 15, 2017	581	287	4
SO44099	Saturday, September 16, 2017	473	287	4
SO44108	Thursday, September 21, 2017	365	287	4
SO44119	Sunday, September 24, 2017	648	287	4
SO44127	Tuesday, September 26, 2017	608	287	4
SO44290	Monday, October 9, 2017	383	287	4
SO44301	Tuesday, October 17, 2017	491	287	4
SO44757	Thursday, December 14, 2017	581	287	4
SO44770	Wednesday, December 20, 2017	365	287	4
SO44783	Sunday, December 24, 2017	648	287	4
SO44795	Friday, December 29, 2017	608	287	4
SO45059	Thursday, January 18, 2018	491	287	4
SO45534	Thursday, March 8, 2018	581	287	4
SO45541	Sunday, March 11, 2018	473	287	4
SO45548	Wednesday, March 14, 2018	365	287	4
SO45560	Monday, March 19, 2018	648	287	4
SO45571	Sunday, March 25, 2018	608	287	4
SO45788	Saturday, April 7, 2018	383	287	4
SO45799	Sunday, April 15, 2018	491	287	4
SO46342	Saturday, June 9, 2018	581	287	4
SO46347	Monday, June 11, 2018	473	287	4
SO46357	Saturday, June 16, 2018	365	287	4
SO46370	Thursday, June 21, 2018	648	287	4
SO46380	Sunday, June 24, 2018	608	287	4
SO46617	Saturday, July 7, 2018	383	287	4
SO46624	Sunday, July 8, 2018	437	287	4
SO46634	Friday, July 13, 2018	491	287	4
SO46675	Monday, July 30, 2018	41	287	4
SO46965	Wednesday, August 8, 2018	77	287	4
SO47034	Friday, August 24, 2018	257	287	4
SO47369	Thursday, September 6, 2018	239	287	4
SO47374	Friday, September 7, 2018	23	287	4
SO47427	Wednesday, September 19, 2018	648	287	4
SO47436	Sunday, September 23, 2018	5	287	4
SO47441	Tuesday, September 25, 2018	608	287	4
SO47692	Saturday, October 13, 2018	41	287	4
SO47989	Wednesday, November 7, 2018	77	287	4
SO48056	Tuesday, November 20, 2018	257	287	4
SO48311	Saturday, December 8, 2018	239	287	4
SO48313	Sunday, December 9, 2018	23	287	4
SO48370	Tuesday, December 25, 2018	648	287	4
SO48374	Tuesday, December 25, 2018	5	287	4
SO48384	Friday, December 28, 2018	608	287	4
SO48738	Sunday, January 6, 2019	41	287	4
SO48767	Sunday, January 20, 2019	437	287	4
SO49111	Friday, February 15, 2019	77	287	4
SO49139	Friday, February 22, 2019	257	287	4
SO49478	Sunday, March 10, 2019	311	287	4
SO49498	Saturday, March 16, 2019	239	287	4
SO49527	Wednesday, March 27, 2019	648	287	4
SO49534	Friday, March 29, 2019	5	287	4
SO49541	Friday, March 29, 2019	608	287	4
SO49832	Friday, April 5, 2019	437	287	4
SO49838	Sunday, April 7, 2019	41	287	4
SO50266	Monday, May 20, 2019	77	287	4
SO50298	Monday, May 27, 2019	257	287	4
SO50672	Wednesday, June 5, 2019	239	287	4
SO50721	Wednesday, June 19, 2019	23	287	4
SO50725	Thursday, June 20, 2019	473	287	4
SO50743	Wednesday, June 26, 2019	648	287	4
SO50746	Wednesday, June 26, 2019	5	287	4
SO50753	Friday, June 28, 2019	608	287	4
SO51095	Friday, July 5, 2019	383	287	4
SO51099	Saturday, July 6, 2019	95	287	4
SO51102	Monday, July 8, 2019	437	287	4
SO51117	Sunday, July 14, 2019	41	287	4
SO51121	Monday, July 15, 2019	491	287	4
SO51131	Wednesday, July 17, 2019	599	287	4
SO51139	Thursday, July 18, 2019	275	287	4
SO51795	Monday, August 19, 2019	77	287	4
SO51827	Friday, August 23, 2019	131	287	4
SO51829	Saturday, August 24, 2019	563	287	4
SO51842	Monday, August 26, 2019	257	287	4
SO53490	Sunday, September 8, 2019	473	287	4
SO53533	Monday, September 16, 2019	509	287	4
SO53538	Tuesday, September 17, 2019	311	287	4
SO53539	Tuesday, September 17, 2019	59	287	4
SO53546	Wednesday, September 18, 2019	624	287	4
SO53552	Thursday, September 19, 2019	23	287	4
SO53580	Monday, September 23, 2019	648	287	4
SO53607	Friday, September 27, 2019	5	287	4
SO55251	Sunday, October 6, 2019	437	287	4
SO55264	Thursday, October 10, 2019	491	287	4
SO55282	Wednesday, October 16, 2019	599	287	4
SO57035	Tuesday, November 5, 2019	77	287	4
SO57131	Tuesday, November 19, 2019	131	287	4
SO57157	Sunday, November 24, 2019	257	287	4
SO57172	Wednesday, November 27, 2019	563	287	4
SO58935	Thursday, December 5, 2019	473	287	4
SO58977	Friday, December 13, 2019	59	287	4
SO58979	Friday, December 13, 2019	509	287	4
SO58982	Saturday, December 14, 2019	311	287	4
SO58992	Sunday, December 15, 2019	23	287	4
SO58995	Sunday, December 15, 2019	624	287	4
SO59014	Thursday, December 19, 2019	5	287	4
SO59029	Saturday, December 21, 2019	648	287	4
SO59054	Thursday, December 26, 2019	113	287	4
SO61184	Sunday, January 5, 2020	599	287	4
SO61211	Wednesday, January 15, 2020	437	287	4
SO61212	Wednesday, January 15, 2020	95	287	4
SO61220	Thursday, January 16, 2020	383	287	4
SO61227	Saturday, January 18, 2020	491	287	4
SO61236	Wednesday, January 22, 2020	41	287	4
SO63240	Friday, February 21, 2020	131	287	4
SO63263	Monday, February 24, 2020	257	287	4
SO63288	Friday, February 28, 2020	563	287	4
SO65167	Wednesday, March 4, 2020	311	287	4
SO65168	Wednesday, March 4, 2020	509	287	4
SO65180	Thursday, March 5, 2020	23	287	4
SO65183	Friday, March 6, 2020	624	287	4
SO65269	Sunday, March 22, 2020	648	287	4
SO67274	Tuesday, April 7, 2020	437	287	4
SO67287	Sunday, April 12, 2020	491	287	4
SO67290	Sunday, April 12, 2020	41	287	4
SO67305	Thursday, April 16, 2020	599	287	4
SO69411	Monday, May 4, 2020	77	287	4
SO69509	Thursday, May 21, 2020	131	287	4
SO69517	Friday, May 22, 2020	563	287	4
SO69527	Monday, May 25, 2020	257	287	4
SO43678	Tuesday, July 18, 2017	203	287	4
SO44299	Sunday, October 15, 2017	203	287	4
SO45060	Thursday, January 18, 2018	203	287	4
SO45798	Sunday, April 15, 2018	203	287	4
SO46638	Saturday, July 14, 2018	203	287	4
SO47687	Wednesday, October 10, 2018	203	287	4
SO48775	Thursday, January 24, 2019	203	287	4
SO49841	Tuesday, April 9, 2019	203	287	4
SO43892	Thursday, August 24, 2017	167	287	4
SO44538	Friday, November 17, 2017	167	287	4
SO46076	Sunday, May 20, 2018	167	287	4
SO47018	Wednesday, August 22, 2018	167	287	4
SO48043	Saturday, November 17, 2018	167	287	4
SO49076	Thursday, February 7, 2019	167	287	4
SO50252	Thursday, May 16, 2019	167	287	4
SO51773	Friday, August 16, 2019	167	287	4
SO57085	Tuesday, November 12, 2019	167	287	4
SO63180	Tuesday, February 11, 2020	167	287	4
SO69466	Thursday, May 14, 2020	167	287	4
SO43692	Thursday, July 27, 2017	221	287	4
SO44317	Tuesday, October 31, 2017	221	287	4
SO45074	Tuesday, January 30, 2018	221	287	4
SO45813	Saturday, April 28, 2018	221	287	4
SO46668	Friday, July 27, 2018	221	287	4
SO47720	Saturday, October 27, 2018	221	287	4
SO48769	Sunday, January 20, 2019	221	287	4
SO51154	Wednesday, July 24, 2019	221	287	4
SO55322	Tuesday, October 29, 2019	221	287	4
SO61243	Friday, January 24, 2020	221	287	4
SO67325	Friday, April 24, 2020	221	287	4
SO49125	Tuesday, February 19, 2019	435	281	4
SO50292	Friday, May 24, 2019	435	281	4
SO51856	Wednesday, August 28, 2019	435	281	4
SO57145	Friday, November 22, 2019	435	281	4
SO63280	Wednesday, February 26, 2020	435	281	4
SO69536	Wednesday, May 27, 2020	435	281	4
SO48740	Tuesday, January 8, 2019	4	281	4
SO48745	Thursday, January 10, 2019	184	281	4
SO48780	Thursday, January 24, 2019	166	281	4
SO49099	Tuesday, February 12, 2019	328	281	4
SO49151	Monday, February 25, 2019	309	281	4
SO49444	Friday, March 1, 2019	647	281	4
SO49463	Wednesday, March 6, 2019	291	281	4
SO49515	Thursday, March 21, 2019	490	281	4
SO49523	Monday, March 25, 2019	130	281	4
SO49526	Wednesday, March 27, 2019	165	281	4
SO49533	Friday, March 29, 2019	75	281	4
SO49538	Friday, March 29, 2019	3	281	4
SO49540	Friday, March 29, 2019	21	281	4
SO49821	Monday, April 1, 2019	4	281	4
SO49851	Saturday, April 13, 2019	184	281	4
SO49882	Friday, April 26, 2019	94	281	4
SO49884	Friday, April 26, 2019	166	281	4
SO49887	Saturday, April 27, 2019	292	281	4
SO50208	Sunday, May 5, 2019	328	281	4
SO50282	Wednesday, May 22, 2019	345	281	4
SO50289	Thursday, May 23, 2019	436	281	4
SO50310	Wednesday, May 29, 2019	309	281	4
SO50695	Wednesday, June 12, 2019	291	281	4
SO50720	Wednesday, June 19, 2019	490	281	4
SO50736	Monday, June 24, 2019	647	281	4
SO50738	Tuesday, June 25, 2019	130	281	4
SO50739	Tuesday, June 25, 2019	165	281	4
SO50747	Wednesday, June 26, 2019	75	281	4
SO50748	Wednesday, June 26, 2019	3	281	4
SO50749	Wednesday, June 26, 2019	21	281	4
SO51122	Monday, July 15, 2019	4	281	4
SO51144	Saturday, July 20, 2019	292	281	4
SO51153	Tuesday, July 23, 2019	166	281	4
SO51714	Monday, August 5, 2019	328	281	4
SO51808	Tuesday, August 20, 2019	607	281	4
SO51809	Tuesday, August 20, 2019	309	281	4
SO51825	Friday, August 23, 2019	345	281	4
SO51836	Sunday, August 25, 2019	255	281	4
SO51855	Wednesday, August 28, 2019	436	281	4
SO53489	Sunday, September 8, 2019	202	281	4
SO53583	Tuesday, September 24, 2019	75	281	4
SO53592	Wednesday, September 25, 2019	112	281	4
SO53599	Thursday, September 26, 2019	201	281	4
SO53602	Friday, September 27, 2019	165	281	4
SO53614	Saturday, September 28, 2019	21	281	4
SO53616	Saturday, September 28, 2019	3	281	4
SO53621	Monday, September 30, 2019	490	281	4
SO55233	Tuesday, October 1, 2019	4	281	4
SO55296	Monday, October 21, 2019	597	281	4
SO55303	Wednesday, October 23, 2019	166	281	4
SO57034	Tuesday, November 5, 2019	328	281	4
SO57128	Tuesday, November 19, 2019	345	281	4
SO57134	Tuesday, November 19, 2019	255	281	4
SO57137	Wednesday, November 20, 2019	309	281	4
SO57168	Tuesday, November 26, 2019	436	281	4
SO57173	Wednesday, November 27, 2019	399	281	4
SO57174	Wednesday, November 27, 2019	607	281	4
SO59011	Wednesday, December 18, 2019	3	281	4
SO59013	Thursday, December 19, 2019	75	281	4
SO59027	Saturday, December 21, 2019	21	281	4
SO59036	Saturday, December 21, 2019	165	281	4
SO59041	Monday, December 23, 2019	201	281	4
SO59068	Sunday, December 29, 2019	490	281	4
SO61193	Monday, January 6, 2020	4	281	4
SO61247	Saturday, January 25, 2020	292	281	4
SO61264	Friday, January 31, 2020	166	281	4
SO63201	Monday, February 17, 2020	328	281	4
SO63243	Friday, February 21, 2020	607	281	4
SO63251	Saturday, February 22, 2020	345	281	4
SO63252	Saturday, February 22, 2020	309	281	4
SO63262	Monday, February 24, 2020	255	281	4
SO63285	Thursday, February 27, 2020	436	281	4
SO65232	Sunday, March 15, 2020	490	281	4
SO65277	Monday, March 23, 2020	201	281	4
SO65291	Thursday, March 26, 2020	291	281	4
SO65300	Friday, March 27, 2020	165	281	4
SO65306	Saturday, March 28, 2020	75	281	4
SO65310	Saturday, March 28, 2020	3	281	4
SO65315	Sunday, March 29, 2020	21	281	4
SO67292	Monday, April 13, 2020	4	281	4
SO67318	Wednesday, April 22, 2020	292	281	4
SO67320	Wednesday, April 22, 2020	166	281	4
SO67326	Saturday, April 25, 2020	597	281	4
SO67330	Sunday, April 26, 2020	94	281	4
SO69412	Tuesday, May 5, 2020	328	281	4
SO69501	Wednesday, May 20, 2020	345	281	4
SO69515	Friday, May 22, 2020	255	281	4
SO43689	Monday, July 24, 2017	166	283	4
SO43904	Saturday, August 26, 2017	255	283	4
SO43906	Sunday, August 27, 2017	309	283	4
SO43913	Tuesday, August 29, 2017	40	283	4
SO44090	Monday, September 11, 2017	417	283	4
SO44092	Tuesday, September 12, 2017	273	283	4
SO44093	Thursday, September 14, 2017	93	283	4
SO44107	Thursday, September 21, 2017	647	283	4
SO44120	Sunday, September 24, 2017	75	283	4
SO44124	Tuesday, September 26, 2017	3	283	4
SO44314	Saturday, October 28, 2017	166	283	4
SO44509	Wednesday, November 8, 2017	328	283	4
SO44545	Sunday, November 19, 2017	256	283	4
SO44556	Saturday, November 25, 2017	309	283	4
SO44557	Saturday, November 25, 2017	255	283	4
SO44566	Tuesday, November 28, 2017	40	283	4
SO44754	Tuesday, December 12, 2017	417	283	4
SO44755	Tuesday, December 12, 2017	273	283	4
SO44756	Wednesday, December 13, 2017	93	283	4
SO44768	Tuesday, December 19, 2017	647	283	4
SO44787	Tuesday, December 26, 2017	75	283	4
SO44791	Thursday, December 28, 2017	3	283	4
SO45070	Sunday, January 28, 2018	166	283	4
SO45291	Friday, February 9, 2018	328	283	4
SO45332	Thursday, February 22, 2018	255	283	4
SO45334	Friday, February 23, 2018	309	283	4
SO45341	Sunday, February 25, 2018	40	283	4
SO45516	Thursday, March 1, 2018	647	283	4
SO45532	Thursday, March 8, 2018	417	283	4
SO45535	Thursday, March 8, 2018	93	283	4
SO45536	Friday, March 9, 2018	273	283	4
SO45565	Thursday, March 22, 2018	75	283	4
SO45568	Saturday, March 24, 2018	3	283	4
SO45810	Thursday, April 26, 2018	166	283	4
SO45811	Thursday, April 26, 2018	292	283	4
SO46049	Sunday, May 13, 2018	328	283	4
SO46083	Wednesday, May 23, 2018	256	283	4
SO46093	Sunday, May 27, 2018	255	283	4
SO46094	Sunday, May 27, 2018	309	283	4
SO46103	Wednesday, May 30, 2018	40	283	4
SO46338	Thursday, June 7, 2018	417	283	4
SO46341	Friday, June 8, 2018	93	283	4
SO46355	Wednesday, June 13, 2018	647	283	4
SO46374	Friday, June 22, 2018	75	283	4
SO46377	Saturday, June 23, 2018	3	283	4
SO46642	Monday, July 16, 2018	4	283	4
SO46648	Tuesday, July 17, 2018	184	283	4
SO46660	Monday, July 23, 2018	166	283	4
SO46661	Monday, July 23, 2018	94	283	4
SO46663	Tuesday, July 24, 2018	292	283	4
SO46964	Wednesday, August 8, 2018	328	283	4
SO47024	Thursday, August 23, 2018	435	283	4
SO47027	Thursday, August 23, 2018	436	283	4
SO47045	Sunday, August 26, 2018	309	283	4
SO47049	Sunday, August 26, 2018	345	283	4
SO47404	Friday, September 14, 2018	647	283	4
SO47407	Saturday, September 15, 2018	291	283	4
SO47422	Tuesday, September 18, 2018	130	283	4
SO47423	Tuesday, September 18, 2018	165	283	4
SO47435	Sunday, September 23, 2018	75	283	4
SO47438	Monday, September 24, 2018	21	283	4
SO47439	Monday, September 24, 2018	3	283	4
SO47456	Saturday, September 29, 2018	490	283	4
SO47658	Monday, October 1, 2018	4	283	4
SO47700	Saturday, October 20, 2018	184	283	4
SO47711	Wednesday, October 24, 2018	94	283	4
SO47712	Wednesday, October 24, 2018	166	283	4
SO47715	Friday, October 26, 2018	292	283	4
SO47990	Wednesday, November 7, 2018	328	283	4
SO48048	Sunday, November 18, 2018	436	283	4
SO48052	Tuesday, November 20, 2018	435	283	4
SO48069	Sunday, November 25, 2018	309	283	4
SO48071	Sunday, November 25, 2018	345	283	4
SO48346	Wednesday, December 19, 2018	291	283	4
SO48363	Sunday, December 23, 2018	130	283	4
SO48364	Sunday, December 23, 2018	165	283	4
SO48375	Tuesday, December 25, 2018	75	283	4
SO48378	Thursday, December 27, 2018	3	283	4
SO48380	Thursday, December 27, 2018	21	283	4
SO48396	Sunday, December 30, 2018	490	283	4
SO43865	Saturday, August 12, 2017	328	283	4
SO44315	Monday, October 30, 2017	292	283	4
SO45072	Monday, January 29, 2018	292	283	4
SO45322	Sunday, February 18, 2018	256	283	4
SO46340	Thursday, June 7, 2018	580	283	4
SO46343	Sunday, June 10, 2018	273	283	4
SO45317	Sunday, February 18, 2018	167	272	4
SO47676	Friday, October 5, 2018	437	272	4
SO49127	Tuesday, February 19, 2019	436	272	4
SO49152	Tuesday, February 26, 2019	345	272	4
SO49890	Sunday, April 28, 2019	221	272	4
SO50205	Saturday, May 4, 2019	259	272	4
SO55298	Tuesday, October 22, 2019	275	272	4
SO61200	Thursday, January 9, 2020	205	272	4
SO61203	Friday, January 10, 2020	421	272	4
SO69528	Monday, May 25, 2020	309	272	4
SO69545	Thursday, May 28, 2020	436	272	4
SO45526	Monday, March 5, 2018	47	272	6
SO45546	Wednesday, March 14, 2018	498	272	6
SO46334	Tuesday, June 5, 2018	678	272	6
SO51786	Sunday, August 18, 2019	138	272	6
SO53465	Tuesday, September 3, 2019	678	272	6
SO67286	Saturday, April 11, 2020	120	272	6
SO43661	Sunday, July 2, 2017	442	288	6
SO43662	Monday, July 3, 2017	227	288	6
SO43668	Friday, July 7, 2017	514	288	6
SO43672	Monday, July 10, 2017	119	288	6
SO43844	Tuesday, August 1, 2017	353	288	6
SO43853	Saturday, August 5, 2017	11	288	6
